X,Y,Z,C
-108.8345,38.2581,-15.2154,14.0000
-109.8998,38.0161,-15.7871,14.0000
-111.0016,37.7657,-16.3803,14.0000
-112.1423,37.5065,-16.9963,14.0000
-85.1134,27.4719,-0.9081,3.0000
-85.1629,27.1497,-0.9081,3.0000
-85.2818,26.8508,-0.9500,4.0000
-85.3279,26.5286,-0.9500,4.0000
-85.3722,26.2069,-0.9500,4.0000
-85.4148,25.8856,-0.9500,4.0000
-85.4557,25.5647,-0.9500,4.0000
-85.4948,25.2442,-0.9500,4.0000
-85.5322,24.9241,-0.9500,4.0000
-85.5678,24.6043,-0.9500,4.0000
-85.6017,24.2849,-0.9500,4.0000
-85.6340,23.9658,-0.9500,4.0000
-85.6645,23.6470,-0.9500,4.0000
-85.6933,23.3285,-0.9500,4.0000
-85.7204,23.0102,-0.9500,4.0000
-85.7459,22.6922,-0.9500,4.0000
-85.7696,22.3745,-0.9500,4.0000
-85.7917,22.0569,-0.9500,4.0000
-85.8121,21.7396,-0.9500,4.0000
-85.8309,21.4225,-0.9500,4.0000
-85.8480,21.1055,-0.9500,4.0000
-85.8634,20.7887,-0.9500,4.0000
-85.8772,20.4721,-0.9500,4.0000
-85.5649,20.1305,-0.7625,13.0000
-85.5752,19.8178,-0.7625,13.0000
-85.5840,19.5051,-0.7625,13.0000
-85.5910,19.1925,-0.7625,13.0000
-85.5965,18.8799,-0.7625,13.0000
-85.6003,18.5674,-0.7625,13.0000
-85.6025,18.2549,-0.7625,13.0000
-85.6031,17.9424,-0.7625,13.0000
-85.6021,17.6300,-0.7625,13.0000
-85.5994,17.3175,-0.7625,13.0000
-85.5951,17.0050,-0.7625,13.0000
-85.5892,16.6924,-0.7625,13.0000
-85.5816,16.3798,-0.7625,13.0000
-85.5725,16.0671,-0.7625,13.0000
-85.5616,15.7542,-0.7625,13.0000
-85.5492,15.4413,-0.7625,13.0000
-85.5351,15.1283,-0.7625,13.0000
-85.5194,14.8151,-0.7625,13.0000
-85.5021,14.5017,-0.7625,13.0000
-85.4830,14.1882,-0.7625,13.0000
-85.4624,13.8744,-0.7625,13.0000
-85.4401,13.5605,-0.7625,13.0000
-85.4161,13.2463,-0.7625,13.0000
-85.3905,12.9319,-0.7625,13.0000
-85.3632,12.6173,-0.7625,13.0000
-85.3342,12.3024,-0.7625,13.0000
-85.3036,11.9871,-0.7625,13.0000
-85.2712,11.6716,-0.7625,13.0000
-85.2372,11.3558,-0.7625,13.0000
-85.2015,11.0396,-0.7625,13.0000
-85.4838,10.6384,-0.9500,4.0000
-85.4442,10.3178,-0.9500,4.0000
-85.4028,9.9968,-0.9500,4.0000
-85.3597,9.6754,-0.9500,4.0000
-85.3149,9.3536,-0.9500,4.0000
-85.2682,9.0313,-0.9500,4.0000
-85.1489,8.7325,-0.9081,3.0000
-85.0989,8.4101,-0.9081,3.0000
-92.7588,5.2939,-5.4921,3.0000
-92.7588,4.8535,-5.5331,3.0000
-92.7588,4.4098,-5.5756,3.0000
-92.7588,3.9626,-5.6197,3.0000
-108.3262,38.3736,-18.3735,14.0000
-117.3056,41.2184,-24.2636,3.0000
-82.2162,27.2239,-0.9081,3.0000
-82.3173,26.9481,-0.9402,4.0000
-82.3831,26.6597,-0.9500,4.0000
-82.4322,26.3661,-0.9500,4.0000
-82.4796,26.0729,-0.9500,4.0000
-82.5252,25.7800,-0.9500,4.0000
-82.5691,25.4873,-0.9500,4.0000
-82.6112,25.1950,-0.9500,4.0000
-82.6517,24.9029,-0.9500,4.0000
-82.6904,24.6111,-0.9500,4.0000
-82.7274,24.3195,-0.9500,4.0000
-82.7627,24.0282,-0.9500,4.0000
-82.7963,23.7371,-0.9500,4.0000
-82.8283,23.4462,-0.9500,4.0000
-82.8585,23.1555,-0.9500,4.0000
-82.8871,22.8650,-0.9500,4.0000
