X,Y,Z,C
-70.4768,25.4501,-0.9500,4.0000
-70.7972,25.4889,-0.9500,4.0000
-71.1172,25.5260,-0.9500,4.0000
-71.4370,25.5613,-0.9500,4.0000
-71.7563,25.5950,-0.9500,4.0000
-72.0754,25.6269,-0.9500,4.0000
-72.3942,25.6571,-0.9500,4.0000
-72.7126,25.6857,-0.9500,4.0000
-73.0308,25.7125,-0.9500,4.0000
-73.3488,25.7377,-0.9500,4.0000
-73.6665,25.7611,-0.9500,4.0000
-73.9840,25.7830,-0.9500,4.0000
-74.3013,25.8031,-0.9500,4.0000
-74.6184,25.8215,-0.9500,4.0000
-74.9353,25.8383,-0.9500,4.0000
-75.2521,25.8535,-0.9500,4.0000
-75.5687,25.8670,-0.9500,4.0000
-75.8853,25.8788,-0.9500,4.0000
-76.2016,25.8890,-0.9500,4.0000
-76.5180,25.8975,-0.9500,4.0000
-76.8342,25.9044,-0.9500,4.0000
-77.1504,25.9096,-0.9500,4.0000
-77.4665,25.9132,-0.9500,4.0000
-77.7827,25.9152,-0.9500,4.0000
-78.0988,25.9155,-0.9500,4.0000
-78.4149,25.9142,-0.9500,4.0000
-78.7310,25.9112,-0.9500,4.0000
-79.0471,25.9065,-0.9500,4.0000
-79.3634,25.9003,-0.9500,4.0000
-79.6797,25.8924,-0.9500,4.0000
-79.9960,25.8828,-0.9500,4.0000
-80.3125,25.8716,-0.9500,4.0000
-80.6291,25.8587,-0.9500,4.0000
-80.9458,25.8442,-0.9500,4.0000
-81.2627,25.8280,-0.9500,4.0000
-81.5797,25.8102,-0.9500,4.0000
-81.8970,25.7906,-0.9500,4.0000
-82.2144,25.7695,-0.9500,4.0000
-82.5320,25.7466,-0.9500,4.0000
-82.8499,25.7221,-0.9500,4.0000
-83.1680,25.6959,-0.9500,4.0000
-83.4863,25.6680,-0.9500,4.0000
-83.8050,25.6384,-0.9500,4.0000
-84.1239,25.6071,-0.9500,4.0000
-84.4432,25.5741,-0.9500,4.0000
-84.7628,25.5394,-0.9500,4.0000
-85.0827,25.5029,-0.9500,4.0000
-85.4030,25.4648,-0.9500,4.0000
-85.7237,25.4249,-0.9500,4.0000
-86.0447,25.3832,-0.9500,4.0000
-86.3662,25.3398,-0.9500,4.0000
-86.6881,25.2947,-0.9500,4.0000
-87.0105,25.2477,-0.9500,4.0000
-87.3333,25.1990,-0.9500,4.0000
-87.6566,25.1485,-0.9500,4.0000
-87.9804,25.0962,-0.9500,4.0000
