X,Y,Z,C
6.7323,68.5844,-2.1317,4.0000
6.6725,68.2438,-2.1317,4.0000
6.6147,67.9036,-2.1317,4.0000
6.5587,67.5641,-2.1317,4.0000
6.5046,67.2250,-2.1317,4.0000
6.4524,66.8865,-2.1317,4.0000
6.4021,66.5485,-2.1317,4.0000
6.3537,66.2110,-2.1317,4.0000
6.3071,65.8739,-2.1317,4.0000
6.2623,65.5372,-2.1317,4.0000
6.2194,65.2010,-2.1317,4.0000
6.1783,64.8652,-2.1317,4.0000
6.1390,64.5298,-2.1317,4.0000
6.1015,64.1948,-2.1317,4.0000
6.0658,63.8601,-2.1317,4.0000
6.0319,63.5257,-2.1317,4.0000
5.9998,63.1917,-2.1317,4.0000
5.9695,62.8580,-2.1317,4.0000
5.9409,62.5246,-2.1317,4.0000
5.9141,62.1914,-2.1317,4.0000
5.8891,61.8585,-2.1317,4.0000
5.8658,61.5258,-2.1317,4.0000
5.8443,61.1933,-2.1317,4.0000
5.8245,60.8610,-2.1317,4.0000
5.8065,60.5290,-2.1317,4.0000
5.7902,60.1970,-2.1317,4.0000
5.7757,59.8653,-2.1317,4.0000
5.7629,59.5336,-2.1317,4.0000
5.7517,59.2021,-2.1317,4.0000
5.7424,58.8707,-2.1317,4.0000
5.7348,58.5394,-2.1317,4.0000
5.7288,58.2081,-2.1317,4.0000
8.5679,57.8153,-0.4900,5.0000
8.5669,57.5160,-0.4892,5.0000
8.5666,57.2167,-0.4890,5.0000
8.5670,56.9174,-0.4893,5.0000
8.5680,56.6180,-0.4901,5.0000
8.5697,56.3186,-0.4914,5.0000
8.5721,56.0190,-0.4933,5.0000
8.5751,55.7192,-0.4957,5.0000
5.7532,55.2269,-2.1317,4.0000
5.7645,54.8953,-2.1317,4.0000
5.7776,54.5637,-2.1317,4.0000
5.7924,54.2319,-2.1317,4.0000
5.8089,53.8999,-2.1317,4.0000
5.8271,53.5678,-2.1317,4.0000
5.8472,53.2356,-2.1317,4.0000
5.8689,52.9031,-2.1317,4.0000
5.8924,52.5704,-2.1317,4.0000
5.9177,52.2374,-2.1317,4.0000
5.9447,51.9042,-2.1317,4.0000
5.9735,51.5707,-2.1317,4.0000
6.0041,51.2370,-2.1317,4.0000
6.0364,50.9029,-2.1317,4.0000
6.0706,50.5685,-2.1317,4.0000
6.1065,50.2338,-2.1317,4.0000
6.1442,49.8987,-2.1317,4.0000
6.1838,49.5632,-2.1317,4.0000
6.2251,49.2274,-2.1317,4.0000
6.2683,48.8911,-2.1317,4.0000
6.3133,48.5544,-2.1317,4.0000
6.3602,48.2173,-2.1317,4.0000
6.4089,47.8796,-2.1317,4.0000
6.4594,47.5416,-2.1317,4.0000
6.5119,47.2030,-2.1317,4.0000
6.5662,46.8639,-2.1317,4.0000
6.6224,46.5242,-2.1317,4.0000
6.6806,46.1840,-2.1317,4.0000
6.7406,45.8433,-2.1317,4.0000
9.6642,67.5799,-2.1317,4.0000
9.6052,67.2709,-2.1317,4.0000
9.5480,66.9623,-2.1317,4.0000
9.4927,66.6540,-2.1317,4.0000
9.4392,66.3461,-2.1317,4.0000
9.3876,66.0385,-2.1317,4.0000
9.3378,65.7313,-2.1317,4.0000
9.2899,65.4244,-2.1317,4.0000
9.2438,65.1178,-2.1317,4.0000
9.1995,64.8114,-2.1317,4.0000
9.1570,64.5054,-2.1317,4.0000
9.1163,64.1997,-2.1317,4.0000
9.0774,63.8942,-2.1317,4.0000
9.0403,63.5890,-2.1317,4.0000
9.0049,63.2839,-2.1317,4.0000
8.9713,62.9792,-2.1317,4.0000
8.9395,62.6746,-2.1317,4.0000
8.9095,62.3703,-2.1317,4.0000
8.8811,62.0661,-2.1317,4.0000
8.8546,61.7621,-2.1317,4.0000
8.8298,61.4583,-2.1317,4.0000
8.8067,61.1547,-2.1317,4.0000
8.7853,60.8512,-2.1317,4.0000
8.7657,60.5478,-2.1317,4.0000
8.7478,60.2446,-2.1317,4.0000
8.7317,59.9414,-2.1317,4.0000
8.7172,59.6384,-2.1317,4.0000
8.7045,59.3355,-2.1317,4.0000
8.6935,59.0326,-2.1317,4.0000
8.6842,58.7298,-2.1317,4.0000
8.6766,58.4271,-2.1317,4.0000
8.6707,58.1244,-2.1317,4.0000
9.7633,57.7976,-1.4284,5.0000
9.7623,57.5075,-1.4276,5.0000
9.7619,57.2173,-1.4273,5.0000
9.7624,56.9272,-1.4276,5.0000
9.7635,56.6370,-1.4286,5.0000
9.7654,56.3467,-1.4300,5.0000
9.7680,56.0563,-1.4321,5.0000
9.7714,55.7657,-1.4348,5.0000
8.6949,55.4003,-2.1317,4.0000
8.7061,55.0974,-2.1317,4.0000
8.7191,54.7945,-2.1317,4.0000
8.7338,54.4914,-2.1317,4.0000
8.7502,54.1883,-2.1317,4.0000
8.7683,53.8850,-2.1317,4.0000
8.7881,53.5817,-2.1317,4.0000
8.8097,53.2781,-2.1317,4.0000
8.8330,52.9745,-2.1317,4.0000
8.8581,52.6706,-2.1317,4.0000
8.8849,52.3666,-2.1317,4.0000
8.9134,52.0625,-2.1317,4.0000
8.9437,51.7581,-2.1317,4.0000
8.9758,51.4535,-2.1317,4.0000
9.0096,51.1487,-2.1317,4.0000
9.0452,50.8437,-2.1317,4.0000
9.0826,50.5384,-2.1317,4.0000
9.1218,50.2329,-2.1317,4.0000
9.1627,49.9271,-2.1317,4.0000
9.2054,49.6210,-2.1317,4.0000
9.2500,49.3147,-2.1317,4.0000
9.2964,49.0080,-2.1317,4.0000
9.3445,48.7011,-2.1317,4.0000
9.3946,48.3938,-2.1317,4.0000
9.4464,48.0862,-2.1317,4.0000
9.5001,47.7782,-2.1317,4.0000
9.5557,47.4699,-2.1317,4.0000
9.6131,47.1612,-2.1317,4.0000
9.6724,46.8521,-2.1317,4.0000
12.1870,66.7156,-2.1317,4.0000
12.1293,66.4336,-2.1317,4.0000
12.0734,66.1518,-2.1317,4.0000
12.0193,65.8703,-2.1317,4.0000
11.9670,65.5890,-2.1317,4.0000
11.9165,65.3079,-2.1317,4.0000
11.8679,65.0270,-2.1317,4.0000
11.8209,64.7463,-2.1317,4.0000
11.7758,64.4658,-2.1317,4.0000
11.7324,64.1855,-2.1317,4.0000
11.6908,63.9054,-2.1317,4.0000
11.6509,63.6255,-2.1317,4.0000
11.6128,63.3457,-2.1317,4.0000
11.5765,63.0661,-2.1317,4.0000
11.5418,62.7866,-2.1317,4.0000
11.5089,62.5073,-2.1317,4.0000
11.4777,62.2282,-2.1317,4.0000
11.4482,61.9491,-2.1317,4.0000
11.4205,61.6702,-2.1317,4.0000
11.3944,61.3914,-2.1317,4.0000
11.3701,61.1127,-2.1317,4.0000
11.3475,60.8341,-2.1317,4.0000
11.3265,60.5556,-2.1317,4.0000
11.3073,60.2771,-2.1317,4.0000
11.2897,59.9988,-2.1317,4.0000
11.2739,59.7205,-2.1317,4.0000
11.2597,59.4423,-2.1317,4.0000
11.2472,59.1642,-2.1317,4.0000
11.2364,58.8861,-2.1317,4.0000
11.2273,58.6080,-2.1317,4.0000
11.2199,58.3300,-2.1317,4.0000
11.2141,58.0520,-2.1317,4.0000
11.2100,57.7740,-2.1317,4.0000
11.2076,57.4961,-2.1317,4.0000
11.2069,57.2182,-2.1317,4.0000
11.2078,56.9402,-2.1317,4.0000
11.2105,56.6622,-2.1317,4.0000
11.2148,56.3843,-2.1317,4.0000
11.2208,56.1063,-2.1317,4.0000
11.2284,55.8283,-2.1317,4.0000
11.2378,55.5502,-2.1317,4.0000
11.2488,55.2721,-2.1317,4.0000
11.2615,54.9939,-2.1317,4.0000
11.2759,54.7157,-2.1317,4.0000
11.2920,54.4375,-2.1317,4.0000
11.3098,54.1591,-2.1317,4.0000
11.3293,53.8807,-2.1317,4.0000
11.3504,53.6022,-2.1317,4.0000
11.3733,53.3236,-2.1317,4.0000
11.3979,53.0448,-2.1317,4.0000
11.4242,52.7660,-2.1317,4.0000
11.4522,52.4871,-2.1317,4.0000
11.4819,52.2080,-2.1317,4.0000
11.5133,51.9288,-2.1317,4.0000
11.5464,51.6495,-2.1317,4.0000
11.5813,51.3700,-2.1317,4.0000
11.6179,51.0904,-2.1317,4.0000
11.6563,50.8106,-2.1317,4.0000
11.6964,50.5306,-2.1317,4.0000
11.7382,50.2505,-2.1317,4.0000
11.7819,49.9701,-2.1317,4.0000
11.8273,49.6896,-2.1317,4.0000
11.8744,49.4089,-2.1317,4.0000
11.9233,49.1280,-2.1317,4.0000
11.9741,48.8469,-2.1317,4.0000
12.0266,48.5656,-2.1317,4.0000
12.0809,48.2840,-2.1317,4.0000
12.1370,48.0022,-2.1317,4.0000
12.1950,47.7202,-2.1317,4.0000
14.3896,65.9609,-2.1317,4.0000
14.3336,65.7023,-2.1317,4.0000
14.2793,65.4439,-2.1317,4.0000
14.2268,65.1855,-2.1317,4.0000
