X,Y,Z,C
-26.0966,52.7875,-24.4287,16.0000
-26.7568,52.9031,-24.4287,2.0000
-27.4159,53.0149,-24.4287,2.0000
-28.0740,53.1230,-24.4287,2.0000
-28.7311,53.2275,-24.4287,3.0000
-39.1505,24.0573,-7.1035,3.0000
-39.4625,24.1036,-7.1035,3.0000
-39.7740,24.1482,-7.1035,3.0000
-40.0104,24.4427,-7.2517,4.0000
-40.3240,24.4842,-7.2517,4.0000
-40.6372,24.5241,-7.2517,4.0000
-40.9501,24.5622,-7.2517,4.0000
-41.2626,24.5986,-7.2517,4.0000
-41.5747,24.6334,-7.2517,4.0000
-41.8865,24.6665,-7.2517,4.0000
-42.1980,24.6979,-7.2517,4.0000
-42.5092,24.7277,-7.2517,4.0000
-42.8202,24.7558,-7.2517,4.0000
-43.1308,24.7822,-7.2517,4.0000
-43.4412,24.8070,-7.2517,4.0000
-43.7514,24.8302,-7.2517,4.0000
-44.0614,24.8517,-7.2517,4.0000
-44.3711,24.8716,-7.2517,4.0000
-44.6807,24.8899,-7.2517,4.0000
-44.9915,24.8935,-7.2442,3.0000
-45.3021,24.8935,-7.2355,3.0000
-45.6100,24.9177,-7.2418,3.0000
-45.9134,24.9991,-7.2820,3.0000
-46.2236,24.9991,-7.2761,3.0000
-46.5333,24.9991,-7.2712,3.0000
-46.8427,24.9991,-7.2671,3.0000
-47.1518,24.9991,-7.2640,3.0000
-47.4607,24.9991,-7.2619,3.0000
-47.7695,24.9991,-7.2606,3.0000
-48.0783,24.9991,-7.2603,3.0000
-48.3870,24.9991,-7.2609,3.0000
-48.6959,24.9991,-7.2625,3.0000
-49.0048,24.9991,-7.2649,3.0000
-49.3140,24.9991,-7.2683,3.0000
-49.6236,24.9991,-7.2727,3.0000
-49.9334,24.9991,-7.2779,3.0000
-50.2437,24.9991,-7.2841,3.0000
-50.5545,24.9991,-7.2913,3.0000
-50.8658,24.9991,-7.2993,3.0000
-51.1667,24.9012,-7.2517,4.0000
-51.4761,24.8840,-7.2517,4.0000
-51.7858,24.8652,-7.2517,4.0000
-52.0956,24.8448,-7.2517,4.0000
-52.4056,24.8227,-7.2517,4.0000
-52.7159,24.7990,-7.2517,4.0000
-53.0264,24.7737,-7.2517,4.0000
-53.3371,24.7467,-7.2517,4.0000
-53.6481,24.7181,-7.2517,4.0000
-53.9594,24.6878,-7.2517,4.0000
-54.2710,24.6558,-7.2517,4.0000
-54.5829,24.6222,-7.2517,4.0000
-54.8952,24.5868,-7.2517,4.0000
-55.2078,24.5498,-7.2517,4.0000
-55.5207,24.5111,-7.2517,4.0000
-55.8341,24.4707,-7.2517,4.0000
-56.1478,24.4286,-7.2517,4.0000
-56.4620,24.3848,-7.2517,4.0000
-56.7766,24.3393,-7.2517,4.0000
-57.0917,24.2920,-7.2517,4.0000
-57.3611,24.1112,-7.1736,3.0000
-57.6328,23.9428,-7.1035,3.0000
-57.9464,23.8907,-7.1035,3.0000
-58.2605,23.8369,-7.1035,3.0000
-69.4587,50.9580,-23.3577,14.0000
-28.0377,47.1045,-24.4287,2.0000
-29.1715,45.8456,-23.5163,3.0000
-39.0760,21.2056,-7.1070,3.0000
-39.3625,21.2512,-7.1035,3.0000
-39.6467,21.3004,-7.1035,3.0000
-39.8544,21.5728,-7.2517,4.0000
-40.1406,21.6190,-7.2517,4.0000
-40.4265,21.6635,-7.2517,4.0000
-40.7122,21.7063,-7.2517,4.0000
-40.9976,21.7474,-7.2517,4.0000
-41.2827,21.7869,-7.2517,4.0000
-41.5675,21.8246,-7.2517,4.0000
-41.8522,21.8607,-7.2517,4.0000
-42.1365,21.8952,-7.2517,4.0000
-42.4207,21.9279,-7.2517,4.0000
-42.7047,21.9591,-7.2517,4.0000
-42.9884,21.9886,-7.2517,4.0000
-43.2720,22.0164,-7.2517,4.0000
-43.5553,22.0427,-7.2517,4.0000
-43.8386,22.0672,-7.2517,4.0000
-44.1216,22.0902,-7.2517,4.0000
-44.4045,22.1116,-7.2517,4.0000
-44.6873,22.1313,-7.2517,4.0000
-44.9700,22.1494,-7.2517,4.0000
-45.2525,22.1659,-7.2517,4.0000
-45.5349,22.1808,-7.2517,4.0000
-45.8173,22.1941,-7.2517,4.0000
-46.0995,22.2058,-7.2517,4.0000
-46.3817,22.2159,-7.2517,4.0000
-46.6638,22.2244,-7.2517,4.0000
-46.9459,22.2313,-7.2517,4.0000
-47.2279,22.2367,-7.2517,4.0000
-47.5099,22.2404,-7.2517,4.0000
-47.7919,22.2425,-7.2517,4.0000
-48.0664,18.2517,-4.6926,5.0000
-48.3030,18.2509,-4.6926,5.0000
-48.5396,18.2486,-4.6926,5.0000
-48.7762,18.2451,-4.6926,5.0000
-49.0129,18.2402,-4.6926,5.0000
-49.2495,18.2339,-4.6926,5.0000
-49.4863,18.2264,-4.6926,5.0000
-49.7231,18.2174,-4.6926,5.0000
-49.9599,18.2072,-4.6926,5.0000
-50.1968,18.1956,-4.6926,5.0000
-50.4338,18.1826,-4.6926,5.0000
-50.6709,18.1683,-4.6926,5.0000
-50.9081,18.1527,-4.6926,5.0000
-51.1454,18.1357,-4.6926,5.0000
-51.3829,18.1173,-4.6926,5.0000
-52.3096,22.0593,-7.2517,4.0000
-52.5928,22.0342,-7.2517,4.0000
-52.8763,22.0074,-7.2517,4.0000
-53.1599,21.9791,-7.2517,4.0000
-53.4437,21.9490,-7.2517,4.0000
-53.7277,21.9173,-7.2517,4.0000
-54.0120,21.8840,-7.2517,4.0000
-54.2964,21.8491,-7.2517,4.0000
-54.5811,21.8124,-7.2517,4.0000
-54.8661,21.7741,-7.2517,4.0000
-55.1512,21.7341,-7.2517,4.0000
-55.4367,21.6924,-7.2517,4.0000
-55.7225,21.6491,-7.2517,4.0000
-56.0085,21.6040,-7.2517,4.0000
-56.2948,21.5572,-7.2517,4.0000
-56.5815,21.5088,-7.2517,4.0000
-56.8685,21.4585,-7.2517,4.0000
-57.1558,21.4066,-7.2517,4.0000
-57.3939,21.2270,-7.1680,3.0000
-57.6410,21.0751,-7.1035,3.0000
-39.3033,18.7646,-7.1035,3.0000
-39.5636,18.8177,-7.1035,3.0000
-39.7465,19.0707,-7.2517,3.0000
